id,country,state,city,zip,latitude,longitude
255,US,NY,Nyc,10020,40.71,-73.99
256,US,NY,New York,10021,40.77,-73.95
257,US,NY,Manhattan,10021,40.77,-73.95
258,US,NY,Nyc,10021,40.77,-73.95
259,US,NY,New York,10022,40.71,-73.99
260,US,NY,Franklin D Roosevelt,10022,40.71,-73.99
261,US,NY,Manhattan,10022,40.71,-73.99
262,US,NY,Nyc,10022,40.71,-73.99
263,US,NY,New York,10023,40.71,-73.99
264,US,NY,Manhattan,10023,40.71,-73.99
265,US,NY,Nyc,10023,40.71,-73.99
266,US,NY,New York,10024,40.71,-73.99
267,US,NY,Manhattan,10024,40.71,-73.99
268,US,NY,Nyc,10024,40.71,-73.99
269,US,NY,Planetarium,10024,40.71,-73.99
270,US,NY,New York,10025,40.71,-73.99
271,US,NY,Manhattan,10025,40.71,-73.99
272,US,NY,Nyc,10025,40.71,-73.99
273,US,NY,New York,10026,40.71,-73.99
274,US,NY,Morningside,10026,40.71,-73.99
275,US,NY,Nyc,10026,40.71,-73.99
276,US,NY,New York,10027,40.71,-73.99
277,US,NY,Manhattan,10027,40.71,-73.99
278,US,NY,Manhattanville,10027,40.71,-73.99
279,US,NY,Ny City,10027,40.71,-73.99
280,US,NY,Nyc,10027,40.71,-73.99
281,US,NY,New York,10028,40.71,-73.99
282,US,NY,Manhattan,10028,40.71,-73.99
283,US,NY,Nyc,10028,40.71,-73.99
284,US,NY,New York,10029,40.71,-73.99
285,US,NY,Manhattan,10029,40.71,-73.99
286,US,NY,Nyc,10029,40.71,-73.99
287,US,NY,New York,10030,40.71,-73.99
288,US,NY,College,10030,40.71,-73.99
289,US,NY,Manhattan,10030,40.71,-73.99
290,US,NY,Nyc,10030,40.71,-73.99
291,US,NY,New York,10031,40.71,-73.99
292,US,NY,Hamilton Grange,10031,40.71,-73.99
293,US,NY,Manhattan,10031,40.71,-73.99
294,US,NY,Nyc,10031,40.71,-73.99
295,US,NY,New York,10032,40.71,-73.99
296,US,NY,Manhattan,10032,40.71,-73.99
297,US,NY,Nyc,10032,40.71,-73.99
298,US,NY,New York,10033,40.71,-73.99
299,US,NY,Manhattan,10033,40.71,-73.99
300,US,NY,Nyc,10033,40.71,-73.99
301,US,NY,Washington Bridge,10033,40.71,-73.99
302,US,NY,New York,10034,40.71,-73.99
303,US,PR,Parc Rodriguez Olmo,00612,18.45,-66.73
304,US,PR,Parq De Jardines,00612,18.45,-66.73
305,US,PR,Paseos Reales,00612,18.45,-66.73
306,US,PR,Repto Marquez,00612,18.45,-66.73
307,US,PR,Repto San Jose,00612,18.45,-66.73
